novel,onym,origin,internal_form,traits,semantic_links,myth_ref
Туманность Андромеды,Академию Стохастики,не определено,,,"{'мифология': 0.55, 'знание': 0.529}",False
Туманность Андромеды,Эрга Ноора,не определено,,мифологизация,"{'мифология': 0.717, 'знание': 0.564}",True
Туманность Андромеды,Комната,не определено,,,"{'мифология': 0.427, 'знание': 0.401}",False
Туманность Андромеды,Петра,не определено,,,"{'мифология': 0.5, 'знание': 0.423}",False
Туманность Андромеды,Мозг,не определено,,,"{'знание': 0.413, 'мифология': 0.405}",False
Туманность Андромеды,Афродита,не определено,,мифологизация,"{'мифология': 0.582, 'экология': 0.467}",True
Туманность Андромеды,Биолог,не определено,,,"{'экология': 0.51, 'знание': 0.438}",False
Туманность Андромеды,Шорох,не определено,,мифологизация,"{'мифология': 0.728, 'экология': 0.611}",True
Туманность Андромеды,Форма,не определено,,,"{'мифология': 0.51, 'знание': 0.464}",False
Туманность Андромеды,Дуэт,не определено,,мифологизация,"{'мифология': 0.761, 'знание': 0.666}",True
Туманность Андромеды,Воля,не определено,,мифологизация,"{'мифология': 0.765, 'знание': 0.618}",True
Туманность Андромеды,Контроля Чести,не определено,,,"{'тирания': 0.522, 'сила': 0.502}",False
Туманность Андромеды,Краны,не определено,,мифологизация,"{'мифология': 0.732, 'сила': 0.633}",True
Туманность Андромеды,"Совет
Экономики",не определено,,,{'сила': 0.439},False
Туманность Андромеды,Галактикой,не определено,,,{},False
Туманность Андромеды,Школа,не определено,,,"{'знание': 0.503, 'мифология': 0.477}",False
Туманность Андромеды,Тор Ан,не определено,,мифологизация,"{'мифология': 0.668, 'сила': 0.543}",True
Туманность Андромеды,Постройки,не определено,,,"{'сила': 0.476, 'мифология': 0.446}",False
Туманность Андромеды,Учительница,не определено,,,{'знание': 0.462},False
Туманность Андромеды,Наблюдательность,не определено,,мифологизация,"{'знание': 0.583, 'мифология': 0.567}",True
Туманность Андромеды,Опыт,не определено,,мифологизация,"{'знание': 0.679, 'мифология': 0.566}",True
Туманность Андромеды,Африканцу,не определено,,,"{'мифология': 0.512, 'экология': 0.417}",False
Туманность Андромеды,Планетолет,не определено,,мифологизация,"{'мифология': 0.552, 'экология': 0.474}",True
Туманность Андромеды,Свисток,не определено,,мифологизация,"{'мифология': 0.778, 'знание': 0.623}",True
Туманность Андромеды,Горе,не определено,,мифологизация,"{'сила': 0.557, 'мифология': 0.551}",True
Туманность Андромеды,Ловко,не определено,,мифологизация,"{'мифология': 0.727, 'знание': 0.595}",True
Туманность Андромеды,"Веду
Конг",не определено,,мифологизация,"{'мифология': 0.596, 'знание': 0.46}",True
Туманность Андромеды,Врач Лума,не определено,,,"{'мифология': 0.428, 'знание': 0.401}",False
Туманность Андромеды,Андромеды,не определено,,,{},False
Туманность Андромеды,Космос,не определено,,,"{'мифология': 0.52, 'экология': 0.48}",False
Туманность Андромеды,Симфония,не определено,,,{},False
Туманность Андромеды,Академии Пределов,не определено,,,"{'знание': 0.489, 'мифология': 0.486}",False
Туманность Андромеды,Даже Эрг,не определено,,мифологизация,"{'мифология': 0.6, 'сила': 0.503}",True
Туманность Андромеды,Разрыв,не определено,,,"{'мифология': 0.54, 'знание': 0.46}",False
Туманность Андромеды,Рисунки,не определено,,,"{'мифология': 0.498, 'сила': 0.406}",False
Туманность Андромеды,Вооружение,не определено,,,"{'сила': 0.565, 'мифология': 0.467}",False
Туманность Андромеды,Эвду Наль,не определено,,мифологизация,"{'мифология': 0.58, 'знание': 0.428}",True
Туманность Андромеды,Море,не определено,,,"{'мифология': 0.496, 'экология': 0.422}",False
Туманность Андромеды,Физик Рен,не определено,,мифологизация,"{'мифология': 0.592, 'знание': 0.574}",True
Туманность Андромеды,Волла Хода,не определено,,мифологизация,"{'мифология': 0.643, 'знание': 0.495}",True
Туманность Андромеды,Юния Анта,не определено,,мифологизация,"{'мифология': 0.618, 'экология': 0.502}",True
Туманность Андромеды,Аудитория,не определено,,,"{'мифология': 0.461, 'сила': 0.416}",False
Туманность Андромеды,Действие,не определено,,мифологизация,"{'мифология': 0.691, 'сила': 0.664}",True
Туманность Андромеды,Запах,не определено,,мифологизация,"{'мифология': 0.739, 'знание': 0.583}",True
Туманность Андромеды,Грим,не определено,,мифологизация,"{'мифология': 0.666, 'экология': 0.601}",True
Туманность Андромеды,Союза Стран,не определено,,,"{'сила': 0.438, 'мифология': 0.433}",False
Туманность Андромеды,Ощущение,не определено,,мифологизация,"{'мифология': 0.599, 'знание': 0.587}",True
Туманность Андромеды,М-33,не определено,,,{},False
Туманность Андромеды,Эру Разобщенного,не определено,,мифологизация,"{'мифология': 0.689, 'знание': 0.58}",True
Туманность Андромеды,Малой Медведице,не определено,,,{},False
Туманность Андромеды,Праздник Пламенных,не определено,,,{'мифология': 0.451},False
Туманность Андромеды,Юнием Антом,не определено,,,"{'мифология': 0.545, 'знание': 0.427}",False
Туманность Андромеды,Эону,не определено,,мифологизация,"{'мифология': 0.681, 'знание': 0.554}",True
Туманность Андромеды,Экватор,не определено,,,{},False
Туманность Андромеды,Наконец Эрг,не определено,,мифологизация,"{'мифология': 0.578, 'сила': 0.462}",True
Туманность Андромеды,Ведь Фрит,не определено,,мифологизация,"{'мифология': 0.704, 'знание': 0.623}",True
Туманность Андромеды,Видов,не определено,,мифологизация,"{'мифология': 0.767, 'экология': 0.648}",True
Туманность Андромеды,Плоты,не определено,,мифологизация,"{'мифология': 0.746, 'знание': 0.619}",True
Туманность Андромеды,Посейдона,не определено,,мифологизация,"{'мифология': 0.673, 'знание': 0.522}",True
Туманность Андромеды,Мозгу,не определено,,,"{'мифология': 0.459, 'знание': 0.451}",False
Туманность Андромеды,М-31,не определено,,,{},False
Туманность Андромеды,Оффа,не определено,,мифологизация,"{'мифология': 0.671, 'знание': 0.541}",True
Туманность Андромеды,Эона Тала,не определено,,мифологизация,"{'мифология': 0.568, 'знание': 0.437}",True
Туманность Андромеды,Совета Звездоплавания,не определено,,,"{'мифология': 0.464, 'сила': 0.405}",False
Туманность Андромеды,Станция,не определено,,,{},False
Туманность Андромеды,Кровь,не определено,,,{},False
Туманность Андромеды,Успею,не определено,,мифологизация,"{'сила': 0.61, 'знание': 0.602}",True
Туманность Андромеды,"Ефремов

Глава",не определено,,,{'мифология': 0.452},False
Туманность Андромеды,Курс,не определено,,мифологизация,"{'знание': 0.604, 'мифология': 0.559}",True
Туманность Андромеды,Сахары,не определено,,,{},False
Туманность Андромеды,Искусства,не определено,,,"{'мифология': 0.549, 'знание': 0.516}",False
Туманность Андромеды,Летчик,не определено,,,"{'мифология': 0.53, 'сила': 0.468}",False
Туманность Андромеды,Вот Дар,не определено,,мифологизация,"{'мифология': 0.64, 'знание': 0.523}",True
Туманность Андромеды,Страх,не определено,,,"{'тирания': 0.441, 'мифология': 0.403}",False
Туманность Андромеды,Необходимость,не определено,,,"{'знание': 0.573, 'мифология': 0.512}",False
Туманность Андромеды,Псами,не определено,,мифологизация,"{'мифология': 0.685, 'знание': 0.573}",True
Туманность Андромеды,Академии Направленных,не определено,,,"{'знание': 0.44, 'сила': 0.407}",False
Туманность Андромеды,Веги,не определено,,мифологизация,"{'мифология': 0.77, 'знание': 0.649}",True
Туманность Андромеды,Звездолет,не определено,,мифологизация,"{'мифология': 0.583, 'экология': 0.433}",True
Туманность Андромеды,Веду,не определено,,мифологизация,"{'мифология': 0.649, 'экология': 0.562}",True
Туманность Андромеды,Средней Сибири,не определено,,,{},False
Туманность Андромеды,Тзвезды,не определено,,мифологизация,"{'мифология': 0.6, 'сила': 0.463}",True
Туманность Андромеды,Пределом,не определено,,мифологизация,"{'мифология': 0.73, 'сила': 0.648}",True
Туманность Андромеды,Эрга,не определено,,мифологизация,"{'мифология': 0.666, 'знание': 0.518}",True
Туманность Андромеды,Пространство,не определено,,,"{'мифология': 0.546, 'экология': 0.492}",False
Туманность Андромеды,Вращение,не определено,,мифологизация,"{'мифология': 0.628, 'сила': 0.591}",True
Туманность Андромеды,Конструкция,не определено,,,"{'мифология': 0.521, 'сила': 0.514}",False
Туманность Андромеды,"Тайной
Двойного",не определено,,,"{'мифология': 0.532, 'знание': 0.52}",False
Туманность Андромеды,Mac,не определено,,,{},False
Туманность Андромеды,Космоса,не определено,,мифологизация,"{'мифология': 0.623, 'экология': 0.539}",True
Туманность Андромеды,Пищи,не определено,,мифологизация,"{'мифология': 0.711, 'знание': 0.601}",True
Туманность Андромеды,Эвде,не определено,,мифологизация,"{'мифология': 0.654, 'знание': 0.555}",True
Туманность Андромеды,Множество,не определено,,мифологизация,"{'мифология': 0.641, 'знание': 0.566}",True
Туманность Андромеды,Альфа,не определено,,мифологизация,"{'мифология': 0.602, 'сила': 0.529}",True
Туманность Андромеды,Зрелище,не определено,,мифологизация,"{'мифология': 0.773, 'знание': 0.634}",True
Туманность Андромеды,Высота,не определено,,мифологизация,"{'мифология': 0.709, 'сила': 0.619}",True
Туманность Андромеды,Глиссер,не определено,,мифологизация,"{'мифология': 0.723, 'знание': 0.591}",True
Туманность Андромеды,Сибири,не определено,,,{'мифология': 0.416},False
Туманность Андромеды,Зала Гостей,не определено,,мифологизация,"{'мифология': 0.608, 'знание': 0.517}",True
Туманность Андромеды,Дома,не определено,,,"{'мифология': 0.436, 'сила': 0.432}",False
Туманность Андромеды,Лайта,не определено,,мифологизация,"{'мифология': 0.654, 'знание': 0.512}",True
Туманность Андромеды,Замедление,не определено,,,{},False
Туманность Андромеды,Сердце Змеи,не определено,,,{},False
Туманность Андромеды,Число,не определено,,мифологизация,"{'мифология': 0.561, 'сила': 0.507}",True
Туманность Андромеды,Изумленный Мвен,не определено,,мифологизация,"{'мифология': 0.675, 'сила': 0.556}",True
Туманность Андромеды,Энергию,не определено,,,"{'сила': 0.652, 'экология': 0.42}",False
Туманность Андромеды,Восточной Африке,не определено,,,{},False
Туманность Андромеды,Сахара,не определено,,,{},False
Туманность Андромеды,Люде,не определено,,мифологизация,"{'мифология': 0.63, 'знание': 0.576}",True
Туманность Андромеды,Большой Медведице,не определено,,,{'экология': 0.41},False
Туманность Андромеды,Дворце,не определено,,,"{'мифология': 0.476, 'сила': 0.454}",False
Туманность Андромеды,Песок,не определено,,,{'мифология': 0.491},False
