name,type,novel,bases,community,degree,betweenness,planet
Иван,onym,Сердце Змеи,1,214,0.005306603773584905,0.000391895598081119,Нейтр/Космос
Ефремов,onym,Сердце Змеи,1,214,0.005306603773584905,0.000391895598081119,Нейтр/Космос
Туманность,onym,Час Быка,1,214,0.003537735849056604,0.0015951492217678282,Нейтр/Космос
Андромеды,onym,Час Быка,1,214,0.0076650943396226415,0.0009820933458993895,Нейтр/Космос
Размах,onym,Туманность Андромеды,1,214,0.0029481132075471696,2.228511322629525e-05,Нейтр/Космос
Туманности,onym,Час Быка,1,214,0.005896226415094339,8.038005080426581e-05,Нейтр/Космос
Земли,onym,Сердце Змеи,1,24,0.004127358490566038,0.003861245616964435,Нейтр/Космос
Особенностью,onym,Туманность Андромеды,1,24,0.0005896226415094339,0.0,Нейтр/Космос
Глава,onym,Час Быка,1,564,0.0011792452830188679,0.0,Нейтр/Космос
Девушка,onym,Сердце Змеи,1,546,0.015919811320754717,0.003774641540587572,Нейтр/Космос
Товарищи,onym,Сердце Змеи,1,0,0.0023584905660377358,2.087159792953749e-06,Нейтр/Космос
Ужас,onym,Туманность Андромеды,1,0,0.001768867924528302,0.0,Нейтр/Космос
Эрг,onym,Туманность Андромеды,1,0,0.001768867924528302,0.0,Земля
Hoop,onym,Туманность Андромеды,1,0,0.001768867924528302,0.0,Нейтр/Космос
Альграб,onym,Туманность Андромеды,1,1,0.0,0.0,Нейтр/Космос
Б-7336-С+87-А.,onym,Туманность Андромеды,1,2,0.0,0.0,Нейтр/Космос
Земле,onym,Сердце Змеи,1,3,0.001768867924528302,9.044359102799578e-06,Нейтр/Космос
Руки,onym,Туманность Андромеды,1,4,0.0011792452830188679,0.0,Нейтр/Космос
Низа,onym,Туманность Андромеды,1,4,0.001768867924528302,3.4785996549229144e-07,Нейтр/Космос
Крит,onym,Туманность Андромеды,1,4,0.001768867924528302,3.4785996549229144e-07,Нейтр/Космос
Ноором,onym,Туманность Андромеды,1,4,0.0011792452830188679,0.0,Земля
Низы,onym,Туманность Андромеды,1,5,0.0005896226415094339,0.0,Нейтр/Космос
Успею,onym,Туманность Андромеды,1,5,0.0005896226415094339,0.0,Нейтр/Космос
Звездолет,onym,Сердце Змеи,1,290,0.001768867924528302,0.00401986976122892,Нейтр/Космос
Рисунки,onym,Туманность Андромеды,1,290,0.0011792452830188679,0.0,Нейтр/Космос
Планета,onym,Час Быка,1,290,0.001768867924528302,0.0035954806033283242,Нейтр/Космос
Эрга,onym,Туманность Андромеды,1,6,0.001768867924528302,0.0,Земля
Ноора,onym,Туманность Андромеды,1,6,0.001768867924528302,0.0,Земля
Начальник,onym,Час Быка,1,546,0.01474056603773585,0.0007042104611070645,Нейтр/Космос
Тантра,onym,Туманность Андромеды,1,6,0.001768867924528302,0.0,Нейтр/Космос
Тантру,onym,Туманность Андромеды,1,7,0.0,0.0,Нейтр/Космос
Волла,onym,Туманность Андромеды,1,8,0.001768867924528302,0.0,Нейтр/Космос
Хода,onym,Туманность Андромеды,1,8,0.001768867924528302,0.0,Нейтр/Космос
Гибель,onym,Туманность Андромеды,1,8,0.0029481132075471696,0.00018450492569711217,Нейтр/Космос
Альграба,onym,Туманность Андромеды,1,8,0.003537735849056604,0.00028417840114283965,Нейтр/Космос
Змееносца,onym,Туманность Андромеды,1,8,0.0047169811320754715,0.00037501623346505695,Нейтр/Космос
Зирда,onym,Туманность Андромеды,1,8,0.0047169811320754715,0.00037501623346505695,Нейтр/Космос
Землей,onym,Час Быка,1,8,0.005306603773584905,0.0011001187362015491,Нейтр/Космос
Кольцу,onym,Час Быка,1,8,0.0047169811320754715,0.0004689152334836089,Нейтр/Космос
Долг,onym,Туманность Андромеды,1,8,0.004127358490566038,3.2466930112613875e-06,Нейтр/Космос
Зирде,onym,Туманность Андромеды,1,8,0.004127358490566038,3.2466930112613875e-06,Нейтр/Космос
Кольца,onym,Час Быка,1,8,0.005896226415094339,0.0038945242203298654,Нейтр/Космос
Запас,onym,Туманность Андромеды,1,8,0.001768867924528302,0.0,Нейтр/Космос
К22Н-88,onym,Туманность Андромеды,1,9,0.0005896226415094339,0.0,Нейтр/Космос
Диски,onym,Туманность Андромеды,1,9,0.0005896226415094339,0.0,Нейтр/Космос
Фильтры,onym,Туманность Андромеды,1,10,0.0,0.0,Нейтр/Космос
Солнца,onym,Сердце Змеи,1,214,0.0011792452830188679,0.005284980627125265,Нейтр/Космос
Земля,onym,Сердце Змеи,1,214,0.005896226415094339,0.00514908425177593,Земля
Луна,onym,Туманность Андромеды,1,11,0.0011792452830188679,0.0,Нейтр/Космос
Тантры,onym,Туманность Андромеды,1,11,0.0011792452830188679,0.0,Нейтр/Космос
Дежурила,onym,Туманность Андромеды,1,11,0.0011792452830188679,0.0,Нейтр/Космос
Астроном,onym,Туманность Андромеды,1,12,0.001768867924528302,0.0,Нейтр/Космос
Пур,onym,Туманность Андромеды,1,12,0.001768867924528302,0.0,Нейтр/Космос
Хисс,onym,Туманность Андромеды,1,12,0.001768867924528302,0.0,Нейтр/Космос
Ряды,onym,Туманность Андромеды,1,12,0.001768867924528302,0.0,Нейтр/Космос
Зирды,onym,Туманность Андромеды,1,13,0.0,0.0,Нейтр/Космос
Станция,onym,Туманность Андромеды,1,546,0.0005896226415094339,0.0,Нейтр/Космос
Совета,onym,Час Быка,1,546,0.026533018867924526,0.00108564199440063,Нейтр/Космос
Облет,onym,Туманность Андромеды,1,546,0.0005896226415094339,0.0,Нейтр/Космос
Температура,onym,Туманность Андромеды,1,14,0.0005896226415094339,0.0,Нейтр/Космос
Астрономы,onym,Туманность Андромеды,1,14,0.0011792452830188679,2.087159792953749e-06,Нейтр/Космос
Материки,onym,Туманность Андромеды,1,14,0.0011792452830188679,2.7828797239383316e-06,Нейтр/Космос
Состав,onym,Туманность Андромеды,1,14,0.0011792452830188679,2.087159792953749e-06,Нейтр/Космос
Ионизация,onym,Туманность Андромеды,1,14,0.0005896226415094339,0.0,Нейтр/Космос
Крыло,onym,Туманность Андромеды,1,15,0.0005896226415094339,0.0,Нейтр/Космос
Заросли,onym,Туманность Андромеды,1,15,0.0005896226415094339,0.0,Нейтр/Космос
Эон,onym,Туманность Андромеды,1,16,0.0005896226415094339,0.0,Нейтр/Космос
Тал,onym,Туманность Андромеды,1,16,0.0005896226415094339,0.0,Нейтр/Космос
Столетия,onym,Туманность Андромеды,1,17,0.0,0.0,Нейтр/Космос
Совет,onym,Час Быка,1,191,0.003537735849056604,0.017765208437691325,Нейтр/Космос
Звезда,onym,Час Быка,1,191,0.0029481132075471696,0.00023515333667278903,Нейтр/Космос
