type,reality,planet,onym,freq,novel
неклассифицировано,вымышленный,иное,Иван,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ефремов,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Туманность,8,Туманность Андромеды
неклассифицировано,вымышленный,иное,Андромеды,30,Туманность Андромеды
неклассифицировано,вымышленный,иное,Еще,36,Туманность Андромеды
неклассифицировано,вымышленный,иное,Размах,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Чудесное,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Туманности,12,Туманность Андромеды
неклассифицировано,вымышленный,иное,Сначала,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Земли,112,Туманность Андромеды
неклассифицировано,вымышленный,иное,Поэтому,21,Туманность Андромеды
неклассифицировано,вымышленный,иное,Особенностью,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Только,56,Туманность Андромеды
неклассифицировано,вымышленный,иное,Глава,15,Туманность Андромеды
неклассифицировано,вымышленный,иное,Железная,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Круглые,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Мерцавшие,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Красный,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Широкие,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тонкое,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Девушка,36,Туманность Андромеды
неклассифицировано,вымышленный,иное,Позади,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Вспыхнул,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Сто,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Плохой,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Товарищи,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ужас,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Двумя,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Эрг,174,Туманность Андромеды
неклассифицировано,вымышленный,иное,Пятый,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Видите,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Надо,17,Туманность Андромеды
неклассифицировано,вымышленный,иное,Хорошо,12,Туманность Андромеды
неклассифицировано,вымышленный,иное,Может,34,Туманность Андромеды
неклассифицировано,вымышленный,иное,Вдруг,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Нельзя,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Уменьшить,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Убавить,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Понимаю,8,Туманность Андромеды
неклассифицировано,вымышленный,иное,Альграб,11,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ошибиться,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Наши,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Земле,41,Туманность Андромеды
неклассифицировано,вымышленный,иное,Стремительным,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Руки,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Бледное,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Низа,113,Туманность Андромеды
неклассифицировано,вымышленный,иное,Крит,16,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ноором,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Какой,9,Туманность Андромеды
неклассифицировано,вымышленный,иное,Любимый,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Нет,36,Туманность Андромеды
неклассифицировано,вымышленный,иное,Сейчас,14,Туманность Андромеды
неклассифицировано,вымышленный,иное,Три,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Другие,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Низы,24,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ваш,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Успею,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Разноцветные,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Звездолет,19,Туманность Андромеды
неклассифицировано,вымышленный,иное,Рисунки,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Планета,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Могучий,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Эрга,31,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ноора,31,Туманность Андромеды
неклассифицировано,вымышленный,иное,Начальник,23,Туманность Андромеды
порейоним,вымышленный,Земля,Тантра,44,Туманность Андромеды
неклассифицировано,вымышленный,иное,Едва,7,Туманность Андромеды
неклассифицировано,вымышленный,иное,Электронные,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тантру,19,Туманность Андромеды
неклассифицировано,вымышленный,иное,Волла,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Хода,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Гибель,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Альграба,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тридцать,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Змееносца,3,Туманность Андромеды
астроним,вымышленный,Земля,Зирда,8,Туманность Андромеды
неклассифицировано,вымышленный,иное,Землей,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Великому,11,Туманность Андромеды
неклассифицировано,вымышленный,иное,Кольцу,25,Туманность Андромеды
неклассифицировано,вымышленный,иное,Внезапно,15,Туманность Андромеды
неклассифицировано,вымышленный,иное,Более,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Долг,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Зирде,13,Туманность Андромеды
неклассифицировано,вымышленный,иное,Кольца,60,Туманность Андромеды
неклассифицировано,вымышленный,иное,Запас,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Диски,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Самым,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Четвертого,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Фильтры,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Неописуемый,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Солнца,28,Туманность Андромеды
неклассифицировано,вымышленный,иное,Здесь,34,Туманность Андромеды
топоним,реальный,Земля,Земля,13,Туманность Андромеды
неклассифицировано,вымышленный,иное,Луна,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тантры,25,Туманность Андромеды
неклассифицировано,вымышленный,иное,Дежурила,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Наконец,12,Туманность Андромеды
неклассифицировано,вымышленный,иное,Огромное,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Прямо,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Там,46,Туманность Андромеды
неклассифицировано,вымышленный,иное,Астроном,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Пур,32,Туманность Андромеды
неклассифицировано,вымышленный,иное,Хисс,25,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ряды,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Стало,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Зирды,11,Туманность Андромеды
неклассифицировано,вымышленный,иное,Сколько,7,Туманность Андромеды
неклассифицировано,вымышленный,иное,Семьдесят,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Станция,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Совета,54,Туманность Андромеды
неклассифицировано,вымышленный,иное,Возражать,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Облет,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Могут,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Остальные,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Никакие,1,Туманность Андромеды
