name,origin,ipa,target_ratio,sonorant_ratio,alternation,euphony_index
Веда Конг,Земля,vʲedakonk,0.0,0.0,0.0,0.3
Чара Нанди,Земля,t͡ɕʲaranandʲi,0.0,0.0,0.0,0.3
Эвда Наль,Земля,evdanalʲ,0.0,0.0,0.0,0.3
Мвен Мас,Земля,mvʲenmas,0.0,0.0,0.0,0.3
Дар Ветер,Земля,darvʲetʲer,0.0,0.0,0.0,0.3
Низа Крит,Земля,nʲizakrʲit,0.0,0.0,0.0,0.3
Эрг Ноор,Земля,erɡnoor,0.0,0.0,0.0,0.3
Родис,Земля,rodʲis,0.0,0.0,0.0,0.3
Любовница Чагаса,Торманс,lʲubovnʲit͡sat͡ɕʲaɡasa,0.0,0.0,0.0,0.3
Зетрино Умрог,Торманс,zʲetrʲinoumrok,0.0,0.0,0.0,0.3
Обменявшись,Торманс,obmʲenʲafʂɨsʲ,0.0,0.0,0.0,0.3
Собравшиеся,Торманс,sobrafʂɨesʲa,0.0,0.0,0.0,0.3
Разрушительные,Торманс,razruʂɨtʲelʲnɨe,0.0,0.0,0.0,0.3
Хорошие,Торманс,xoroʂɨe,0.0,0.0,0.0,0.3
Эры Встретившихся Рук,Торманс,erɨfstrʲetʲifʂɨxsʲaruk,0.0,0.0,0.0,0.3
Ближайший,Торманс,blʲiʒajʂɨj,0.0,0.0,0.0,0.3
Великий Чойо Чагас,Торманс,vʲelʲikijt͡ɕʲojot͡ɕʲaɡas,0.0,0.0,0.0,0.3
Нагнувшись,Торманс,naɡnufʂɨsʲ,0.0,0.0,0.0,0.3
Добывавшийся,Торманс,dobɨvafʂɨjsʲa,0.0,0.0,0.0,0.3
Ошибкой,Торманс,oʂɨpkoj,0.0,0.0,0.0,0.3
Дальнейший,Торманс,dalʲnʲejʂɨj,0.0,0.0,0.0,0.3
Чойо Чагасом,Торманс,t͡ɕʲojot͡ɕʲaɡasom,0.0,0.0,0.0,0.3
Предвидевший,Торманс,prʲedvʲidʲefʂɨj,0.0,0.0,0.0,0.3
Широкая,Торманс,ʂɨrokaa,0.0,0.0,0.0,0.3
Ваши,Торманс,vaʂɨ,0.0,0.0,0.0,0.3
Находившиеся,Торманс,naxodʲifʂɨesʲa,0.0,0.0,0.0,0.3
Большинство,Торманс,bolʲʂɨnstvo,0.0,0.0,0.0,0.3
Ставший,Торманс,stafʂɨj,0.0,0.0,0.0,0.3
Раздевшись,Торманс,razdʲefʂɨsʲ,0.0,0.0,0.0,0.3
Больших,Торманс,bolʲʂɨx,0.0,0.0,0.0,0.3
Высшие,Торманс,vɨsʂɨe,0.0,0.0,0.0,0.3
Очнувшись,Торманс,ot͡ɕʲnufʂɨsʲ,0.0,0.0,0.0,0.3
Повернувшись,Торманс,povʲernufʂɨsʲ,0.0,0.0,0.0,0.3
Слушавшие,Торманс,sluʂafʂɨe,0.0,0.0,0.0,0.3
Стоявшие,Торманс,stoafʂɨe,0.0,0.0,0.0,0.3
Прибывшие,Торманс,prʲibɨfʂɨe,0.0,0.0,0.0,0.3
Освежившись,Торманс,osvʲeʒɨfʂɨsʲ,0.0,0.0,0.0,0.3
Уцепившись,Торманс,ut͡sepʲifʂɨsʲ,0.0,0.0,0.0,0.3
Взобравшись,Торманс,vzobrafʂɨsʲ,0.0,0.0,0.0,0.3
Великого Чойо Чагаса,Торманс,vʲelʲikoɡot͡ɕʲojot͡ɕʲaɡasa,0.0,0.0,0.0,0.3
Кандо Лелуф,Торманс,kandolʲeluf,0.0,0.0,0.0,0.3
Широкие,Торманс,ʂɨrokie,0.0,0.0,0.0,0.3
Слышите,Торманс,slɨʂɨtʲe,0.0,0.0,0.0,0.3
Равнодушие,Торманс,ravnoduʂɨe,0.0,0.0,0.0,0.3
Старший,Торманс,starʂɨj,0.0,0.0,0.0,0.3
Решили,Торманс,rʲeʂɨlʲi,0.0,0.0,0.0,0.3
Чойо Чагас,Торманс,t͡ɕʲojot͡ɕʲaɡas,0.0,0.0,0.0,0.3
Спешить,Торманс,spʲeʂɨtʲ,0.0,0.0,0.0,0.3
Сохранившиеся,Торманс,soxranʲifʂɨesʲa,0.0,0.0,0.0,0.3
Поравнявшись,Торманс,poravnʲafʂɨsʲ,0.0,0.0,0.0,0.3
Исчезнувший,Торманс,ist͡ɕʲeznufʂɨj,0.0,0.0,0.0,0.3
Оставшихся,Торманс,ostafʂɨxsʲa,0.0,0.0,0.0,0.3
Машина,Торманс,maʂɨna,0.0,0.0,0.0,0.3
Очнувшийся Пел Лин,Торманс,ot͡ɕʲnufʂɨjsʲapʲellʲin,0.0,0.0,0.0,0.3
Социолог Эры Встретившихся,Торманс,sot͡sɨoloɡerɨfstrʲetʲifʂɨxsʲa,0.0,0.0,0.0,0.3
Большие,Торманс,bolʲʂɨe,0.0,0.0,0.0,0.3
Вступившие,Торманс,fstupʲifʂɨe,0.0,0.0,0.0,0.3
Наши,Торманс,naʂɨ,0.0,0.0,0.0,0.3
Задумавшись,Торманс,zadumafʂɨsʲ,0.0,0.0,0.0,0.3
Уравновешивание,Торманс,uravnovʲeʂɨvanʲie,0.0,0.0,0.0,0.3
Уменьшить,Торманс,umʲenʲʂɨtʲ,0.0,0.0,0.0,0.3
Вершины,Торманс,vʲerʂɨnɨ,0.0,0.0,0.0,0.3
Небольшие,Торманс,nʲebolʲʂɨe,0.0,0.0,0.0,0.3
Провожавшие,Торманс,provoʒafʂɨe,0.0,0.0,0.0,0.3
Высунувшись,Торманс,vɨsunufʂɨsʲ,0.0,0.0,0.0,0.3
Опершись,Торманс,opʲerʂɨsʲ,0.0,0.0,0.0,0.3
Глубочайший,Торманс,ɡlubot͡ɕʲajʂɨj,0.0,0.0,0.0,0.3
Машины,Торманс,maʂɨnɨ,0.0,0.0,0.0,0.3
Чагаса Янтре Яхах,Торманс,t͡ɕʲaɡasaantrʲeaxax,0.0,0.0,0.0,0.3
Слышимый,Торманс,slɨʂɨmɨj,0.0,0.0,0.0,0.3
Вернувшиеся,Торманс,vʲernufʂɨesʲa,0.0,0.0,0.0,0.3
Чойо Чагаса,Торманс,t͡ɕʲojot͡ɕʲaɡasa,0.0,0.0,0.0,0.3
Малейший,Торманс,malʲejʂɨj,0.0,0.0,0.0,0.3
Умиравших,Торманс,umʲirafʂɨx,0.0,0.0,0.0,0.3
Предполагавшиеся,Торманс,prʲetpolaɡafʂɨesʲa,0.0,0.0,0.0,0.3
Загоравшиеся,Торманс,zaɡorafʂɨesʲa,0.0,0.0,0.0,0.3
Посовещавшись,Торманс,posovʲeɕːafʂɨsʲ,0.0,0.0,0.0,0.3
Новейшие,Торманс,novʲejʂɨe,0.0,0.0,0.0,0.3
Машина Общего Раздумья,Торманс,maʂɨnaobɕːeɡorazdumʲa,0.0,0.0,0.0,0.3
Поднявшись,Торманс,podnʲafʂɨsʲ,0.0,0.0,0.0,0.3
Вошедший,Торманс,voʂetʂɨj,0.0,0.0,0.0,0.3
Хороший,Торманс,xoroʂɨj,0.0,0.0,0.0,0.3
Исчезнувшие,Торманс,ist͡ɕʲeznufʂɨe,0.0,0.0,0.0,0.3
Уходивший,Торманс,uxodʲifʂɨj,0.0,0.0,0.0,0.3
Опомнившиеся,Торманс,opomnʲifʂɨesʲa,0.0,0.0,0.0,0.3
Посоветовавшись,Торманс,posovʲetovafʂɨsʲ,0.0,0.0,0.0,0.3
Вершина,Торманс,vʲerʂɨna,0.0,0.0,0.0,0.3
Улетавшие,Торманс,ulʲetafʂɨe,0.0,0.0,0.0,0.3
"Чойо Чагас

Его",Торманс,t͡ɕʲojot͡ɕʲaɡasʲevo,0.0,0.0,0.0,0.3
Дрожавшие,Торманс,droʒafʂɨe,0.0,0.0,0.0,0.3
Широкий,Торманс,ʂɨrokij,0.0,0.0,0.0,0.3
Вернувшись,Торманс,vʲernufʂɨsʲ,0.0,0.0,0.0,0.3
Отвернувшись,Торманс,otvʲernufʂɨsʲ,0.0,0.0,0.0,0.3
Удлинившиеся,Торманс,udlʲinʲifʂɨesʲa,0.0,0.0,0.0,0.3
Мерцавшие,Торманс,mʲert͡safʂɨe,0.0,0.0,0.0,0.3
Работавшие,Торманс,rabotafʂɨe,0.0,0.0,0.0,0.3
Оставшиеся,Торманс,ostafʂɨesʲa,0.0,0.0,0.0,0.3
Обострившийся,Торманс,obostrʲifʂɨjsʲa,0.0,0.0,0.0,0.3
Ошибиться,Торманс,oʂɨbʲitʲsʲa,0.0,0.0,0.0,0.3
Чойо Чагасу,Торманс,t͡ɕʲojot͡ɕʲaɡasu,0.0,0.0,0.0,0.3
Уставившиеся,Торманс,ustavʲifʂɨesʲa,0.0,0.0,0.0,0.3
Машиной,Торманс,maʂɨnoj,0.0,0.0,0.0,0.3
Чойо Чагаса Ген,Торманс,t͡ɕʲojot͡ɕʲaɡasaɡen,0.0,0.0,0.0,0.3
Отправлявшиеся,Торманс,otpravlʲafʂɨesʲa,0.0,0.0,0.0,0.3
Дрожавшими,Торманс,droʒafʂɨmʲi,0.0,0.0,0.0,0.3
Сокрушительная,Торманс,sokruʂɨtʲelʲnaa,0.0,0.0,0.0,0.3
Тишина,Торманс,tʲiʂɨna,0.0,0.0,0.0,0.3
Лопнувшие,Торманс,lopnufʂɨe,0.0,0.0,0.0,0.3
Старшие,Торманс,starʂɨe,0.0,0.0,0.0,0.3
Приблизившись,Торманс,prʲiblʲizʲifʂɨsʲ,0.0,0.0,0.0,0.3
Ошибка,Торманс,oʂɨpka,0.0,0.0,0.0,0.3
Забывшие,Торманс,zabɨfʂɨe,0.0,0.0,0.0,0.3
Башенка,Торманс,baʂenka,0.0,0.0,0.0,0.3
Отказавшись,Торманс,otkazafʂɨsʲ,0.0,0.0,0.0,0.3
Оглушительный,Торманс,oɡluʂɨtʲelʲnɨj,0.0,0.0,0.0,0.3
Купавшиеся,Торманс,kupafʂɨesʲa,0.0,0.0,0.0,0.3
Сложнейший,Торманс,sloʒnʲejʂɨj,0.0,0.0,0.0,0.3
Юноши,Торманс,junoʂɨ,0.0,0.0,0.0,0.3
Широко,Торманс,ʂɨroko,0.0,0.0,0.0,0.3
Хороши,Торманс,xoroʂɨ,0.0,0.0,0.0,0.3
Эры Встретившихся Рук,Торманс,erɨfstrʲetʲifʂɨxsʲaruk,0.0,0.0,0.0,0.3
Бывший,Торманс,bɨfʂɨj,0.0,0.0,0.0,0.3
Обступившие,Торманс,opstupʲifʂɨe,0.0,0.0,0.0,0.3
Разрешите,Торманс,razrʲeʂɨtʲe,0.0,0.0,0.0,0.3
